Id,Title,Original Title,Original Language,Overview,Popularity,Revenue,Budget,Runtime,Release Date,Vote Average,Vote Count,Adult,Genres,Production Companies,Production Countries,Spoken Languages,Status
571786,Miss & Mrs. Cops,걸캅스,ko,"Once a legendary detective and a new mom, Mi-young, now works a desk job. But when overenthusiastic newbie Ji-hye is assigned to Mi-young's civil complaints team, the two female cops get caught up in a serious criminal case that triggers an action-filled comedic investigation.",11.3,0,0,107,5/9/2019,7.1,59,FALSE,"['Action', 'Comedy', 'Crime']","['Film Momentum', 'CJ Entertainment']",['South Korea'],['한국어/조선말'],Released
479455,Men in Black: International,Men in Black: International,en,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",44.078,253890701,110000000,115,6/12/2019,5.919,4646,FALSE,"['Comedy', 'Science Fiction', 'Action']","['Amblin Entertainment', 'Parkes+MacDonald Image Nation', 'Columbia Pictures', 'Tencent Pictures']","['China', 'United States of America']","['Français', 'English']",Released
504608,Rocketman,Rocketman,en,"The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",30.815,167300000,40000000,121,5/17/2019,7.325,4434,FALSE,"['Music', 'Drama']","['Paramount', 'New Republic Pictures', 'Marv', 'Rocket Pictures', 'Lawrence Bender Productions']","['United Kingdom', 'United States of America']",['English'],Released
540141,City Hunter: Shinjuku Private Eyes,劇場版シティーハンター ＜新宿プライベート・アイズ＞,ja,"Ryo Saeba works the streets of Tokyo as the City Hunter. He's a ""sweeper"" and with his sidekick Kaori Makimura, he keeps the city clean. People hire the City Hunter to solve their dangerous problems, which he does with a Colt Python. When Ryo's not working on a case, he's working on getting the ladies, and Kaori must keep him in check with her trusty 10 kg hammer.",11.785,0,0,95,2/8/2019,6.4,77,FALSE,"['Animation', 'Action', 'Comedy', 'Crime']","['SUNRISE', 'Audio Planning U', 'Aniplex', 'Nippon Television Network Corporation', 'North Star Pictures', 'Yomiuri Telecasting Corporation', 'ADK Marketing Solutions', 'Yomiuri Shimbun Company']",['Japan'],['日本語'],Released
10193,Toy Story 3,Toy Story 3,en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",84.379,1066970000,200000000,103,6/16/2010,7.795,14155,FALSE,"['Animation', 'Family', 'Comedy']","['Pixar', 'Walt Disney Pictures']",['United States of America'],"['English', 'Español']",Released
74095,Wo Hu,臥虎,cn,"The Hong Kong Police placed 1000 undercover officers in the various Triad groups in their efforts to bring down the criminal organization in Hong Kong. After one undercover officer's identity is discovered and he is killed, the pressure is put on one gang, suspicious of each other and everyone around them. Betrayal, deceit and murder bring this group of 'brothers' into a collision with the law, and each other.",2.604,0,0,102,10/13/2006,5.2,7,FALSE,"['Drama', 'Action', 'Thriller', 'Crime']",[],['Hong Kong'],['广州话 / 廣州話'],Released
496243,Parasite,기생충,ko,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",92.418,257591776,11363000,133,5/30/2019,8.5,17329,FALSE,"['Comedy', 'Thriller', 'Drama']",['Barunson E&A'],['South Korea'],"['English', 'Deutsch', '한국어/조선말']",Released
521029,Annabelle Comes Home,Annabelle Comes Home,en,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",71.631,231300000,30000000,106,6/26/2019,6.42,3325,FALSE,['Horror'],"['Atomic Monster', 'The Safran Company', 'New Line Cinema']",['United States of America'],['English'],Released
429617,Spider-Man: Far From Home,Spider-Man: Far From Home,en,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",117.104,1131927996,160000000,129,6/28/2019,7.434,15012,FALSE,"['Action', 'Adventure', 'Science Fiction']","['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",['United States of America'],"['Český', 'Nederlands', 'English', 'Deutsch', 'Italiano']",Released
662691,Heavenly Being with You,Thật Tuyệt Vời Khi Ở Bên Em,vi,,0.6,0,0,0,7/12/2019,5.5,2,FALSE,['Family'],[],['Vietnam'],[],Released
480042,Escape Plan: The Extractors,Escape Plan: The Extractors,en,"After security expert Ray Breslin is hired to rescue the kidnapped daughter of a Hong Kong tech mogul from a formidable Latvian prison, Breslin's girlfriend is also captured. Now he and his team must pull off a deadly rescue mission to confront their sadistic foe and save the hostages before time runs out.",24.033,1766092,3600000,97,6/20/2019,5.4,795,FALSE,"['Action', 'Adventure', 'Crime', 'Thriller']","['Potato Eater Productions', 'Twirly Films Limited', 'Leomus Pictures', 'EFO Films', 'Summit Entertainment']","['China', 'United States of America']",['English'],Released
814785,G Storm,G 風暴,cn,Follows an investigator as he prevents a terrorist attack during a symposium held by Hong Kong's Independent Commission Against Corruption. He later finds it has links to human trafficking in Thailand.,6.18,55540000,0,93,12/31/2021,5.5,15,FALSE,"['Action', 'Thriller']",['Mandarin Motion Pictures Limited'],['Hong Kong'],['广州话 / 廣州話'],Released
575361,Queen of Spades: Through the Looking Glass,Пиковая дама: Зазеркалье,ru,"The sinister ghost of the Queen of Spades is out for blood, her victims the students of an old boarding school shrouded in gloomy rumors.  Exploring the school’s abandoned wing, the teenagers discover a mirror covered in mysterious drawings.  Facing it, they playfully recite an incantation which renders their innermost desires a reality - at the expense of nothing less than their souls.",7.33,0,0,83,3/14/2019,7,152,FALSE,"['Horror', 'Thriller']",['10/09'],['Russia'],['Pусский'],Released
